PAYS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,code
KOSOVO,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,2,1,8
LAOS,0,1,0,2,0,2,1,3,8,14,27,0,13,1,1,1,1,3,78
LETTONIE,72,90,50,105,73,79,30,34,44,47,22,37,25,16,18,8,10,0,760
LIBAN,11,11,5,3,2,2,6,2,3,3,4,3,5,1,2,4,1,3,71
LIBERIA,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,6
LITUANIE,7,32,41,28,20,19,32,18,9,3,3,9,2,2,2,0,0,0,227
MACEDOINE,4,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,11
MADAGASCAR,216,281,325,292,245,117,62,4,26,37,32,31,33,33,30,37,24,22,1847
MALAISIE,1,0,3,1,0,1,2,2,0,2,0,1,0,0,0,1,0,0,14
MALI,64,95,132,79,85,109,135,72,117,71,62,33,2,36,14,0,0,1,1107
MAROC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEXIQUE,18,11,18,16,3,15,13,10,10,8,0,0,1,2,0,0,0,0,125
MOLDAVIE,1,0,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,8
MONGOLIE,0,0,0,0,2,3,5,4,3,1,2,0,0,0,0,1,0,0,21
MOZAMBIQUE,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
NAMIBIE,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,5
NEPAL,12,29,38,32,38,61,33,58,3,19,2,0,0,0,0,0,0,0,325
NICARAGUA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
NIGER,8,10,9,7,6,4,10,10,6,7,7,3,3,6,11,6,4,4,121
NIGERIA,5,9,3,2,1,2,7,3,9,23,13,7,9,3,1,2,0,3,102
OUZBEKISTAN,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4
PAKISTAN,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7
PANAMA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PEROU,3,5,1,2,5,3,1,3,3,1,5,3,3,4,3,9,5,8,67
PHILIPPINES,11,16,19,16,12,9,21,18,3,14,7,16,23,25,19,17,15,15,276
POLOGNE,46,30,21,36,39,26,20,19,24,26,14,17,18,22,5,6,3,0,372
PORTUGAL,0,0,0,1,0,3,2,4,1,2,2,5,7,1,2,7,3,0,40
REP. CENTRAFRIQUE,2,15,4,4,7,8,9,9,7,12,20,43,73,43,11,4,6,0,277
REP. DEM.CONGO,8,8,6,1,5,7,5,14,42,41,41,84,62,2,13,231,11,28,609
REP. DOMINICAINE,1,5,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,14
REP. TCHEQUE,1,1,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,10
ROUMANIE,223,42,17,16,3,0,0,0,0,0,0,0,0,0,3,1,3,3,311
ROYAUME UNI,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,5
RUSSIE,146,263,333,445,357,397,402,315,288,301,286,235,185,121,51,30,24,23,4202
RWANDA,5,2,3,7,16,40,4,10,4,5,3,0,0,0,3,5,0,0,107
SAINTE LUCIE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SALVADOR,2,1,2,2,1,3,4,0,0,0,0,0,1,0,0,0,0,0,16
SAO TOME ET PRINCIPE,0,0,0,0,0,0,7,0,0,2,0,2,0,0,0,0,0,0,11
SENEGAL,12,7,2,6,7,10,0,1,7,9,15,14,9,8,5,4,0,1,117
SERBIE ,1,0,0,5,1,0,2,22,2,1,1,1,0,0,0,0,0,0,36
SEYCHELLES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SIERRA LEONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SINGAPOUR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
SLOVAQUIE,0,1,11,4,9,0,2,0,0,0,0,0,0,0,0,0,0,3,30
SRI LANKA,7,6,9,9,14,8,0,6,8,7,9,1,2,3,6,3,2,4,104
SURINAM,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,7
SYRIE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
TAIWAN,0,1,1,2,3,2,3,3,2,3,0,5,0,0,0,0,0,0,25
TANZANIE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TCHAD,3,2,3,3,4,8,5,5,5,1,1,1,3,3,0,0,1,2,50
THAILANDE,70,66,83,87,84,69,71,48,45,30,30,37,51,57,41,46,43,42,1000
TOGO,14,12,23,18,21,23,31,3,7,15,8,14,2,13,6,5,12,8,235
TUNISIE,10,16,23,28,24,22,29,41,31,34,37,43,27,22,19,19,14,15,454
TURKMENISTAN,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3
TURQUIE,1,2,1,2,2,2,99,0,0,1,1,3,1,1,0,0,0,0,116
UKRAINE,130,178,141,126,96,88,0,112,59,59,35,21,12,9,5,5,4,8,1088
VANUATU,1,0,0,0,0,0,0,0,0,2,0,0,9,9,4,12,1,2,40
VIETNAM,44,61,234,363,790,742,268,284,308,469,264,76,89,129,108,74,95,50,4448
YOUGOSLAVIE,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ZAMBIE,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,5
Total,3095,3551,3995,4079,4136,3977,3162,3271,3016,3504,1995,1569,1343,1068,815,952,685,615,44828
